method,step,value
catp_llm_train_loss,156.0,0.932567
catp_llm_train_loss,157.0,0.975966
catp_llm_train_loss,158.0,0.936887
catp_llm_train_loss,159.0,1.117434
catp_llm_train_loss,160.0,1.154354
catp_llm_train_loss,161.0,1.158037
catp_llm_train_loss,162.0,1.098944
catp_llm_train_loss,163.0,1.104133
catp_llm_train_loss,164.0,1.095337
catp_llm_train_loss,165.0,1.015113
catp_llm_train_loss,166.0,1.022671
catp_llm_train_loss,167.0,0.999515
catp_llm_train_loss,168.0,4.151246
catp_llm_train_loss,169.0,0.982745
catp_llm_train_loss,170.0,0.933231
catp_llm_train_loss,171.0,0.853182
catp_llm_train_loss,172.0,0.904337
catp_llm_train_loss,173.0,0.86366
catp_llm_train_loss,174.0,1.05112
catp_llm_train_loss,175.0,1.086507
catp_llm_train_loss,176.0,0.979061
catp_llm_train_loss,177.0,1.072872
catp_llm_train_loss,178.0,1.031482
catp_llm_train_loss,179.0,0.867334
catp_llm_train_loss,180.0,0.843828
catp_llm_train_loss,181.0,0.82061
catp_llm_train_loss,182.0,0.886873
catp_llm_train_loss,183.0,0.851937
catp_llm_train_loss,184.0,1.003815
catp_llm_train_loss,185.0,1.060665
catp_llm_train_loss,186.0,3.771865
catp_llm_train_loss,187.0,0.93013
catp_llm_train_loss,188.0,0.976967
catp_llm_train_loss,189.0,0.975505
catp_llm_train_loss,190.0,0.892209
catp_llm_train_loss,191.0,0.860399
catp_llm_train_loss,192.0,0.87291
catp_llm_train_loss,193.0,0.902338
catp_llm_train_loss,194.0,0.817087
catp_llm_train_loss,195.0,0.807263
catp_llm_train_loss,196.0,0.806833
catp_llm_train_loss,197.0,0.840988
catp_llm_train_loss,198.0,0.77568
catp_llm_train_loss,199.0,0.7497
catp_llm_train_loss,200.0,0.85759
catp_llm_train_loss,201.0,0.811383
catp_llm_train_loss,202.0,1.005796
catp_llm_train_loss,203.0,1.065637
catp_llm_train_loss,204.0,1.065069
catp_llm_train_loss,205.0,1.015375
catp_llm_train_loss,206.0,1.061463
catp_llm_train_loss,207.0,1.051412
catp_llm_train_loss,208.0,0.826401
catp_llm_train_loss,209.0,0.820717
catp_llm_train_loss,210.0,0.808488
catp_llm_train_loss,211.0,0.82383
catp_llm_train_loss,212.0,0.804034
catp_llm_train_loss,213.0,0.884471
catp_llm_train_loss,214.0,0.925046
catp_llm_train_loss,215.0,0.823754
catp_llm_train_loss,216.0,0.790331
catp_llm_train_loss,217.0,0.752017
catp_llm_train_loss,218.0,0.726752
catp_llm_train_loss,219.0,0.709707
catp_llm_train_loss,220.0,0.688339
catp_llm_train_loss,221.0,0.771615
catp_llm_train_loss,222.0,0.798866
catp_llm_train_loss,223.0,0.77836
catp_llm_train_loss,224.0,0.742352
catp_llm_train_loss,225.0,0.823721
catp_llm_train_loss,226.0,0.760501
catp_llm_train_loss,227.0,0.796052
catp_llm_train_loss,228.0,0.810292
catp_llm_train_loss,229.0,0.951006
catp_llm_train_loss,230.0,0.991157
catp_llm_train_loss,231.0,0.719759
catp_llm_train_loss,232.0,0.802534
catp_llm_train_loss,233.0,0.749618
catp_llm_train_loss,234.0,0.849551
catp_llm_train_loss,235.0,0.763793
catp_llm_train_loss,236.0,0.916511
catp_llm_train_loss,237.0,0.952891
catp_llm_train_loss,238.0,0.7354
catp_llm_train_loss,239.0,0.636939
catp_llm_train_loss,240.0,0.635999
catp_llm_train_loss,241.0,0.734377
catp_llm_train_loss,242.0,0.730996
catp_llm_train_loss,243.0,0.735378
catp_llm_train_loss,244.0,0.678412
catp_llm_train_loss,245.0,0.711111
catp_llm_train_loss,246.0,0.842169
catp_llm_train_loss,247.0,0.806475
catp_llm_train_loss,248.0,0.680514
catp_llm_train_loss,249.0,0.702776
catp_llm_train_loss,250.0,0.65337
catp_llm_train_loss,251.0,0.629799
catp_llm_train_loss,252.0,0.637658
catp_llm_train_loss,253.0,0.616128
catp_llm_train_loss,254.0,0.642748
catp_llm_train_loss,255.0,0.610431
catp_llm_train_loss,256.0,0.817416
catp_llm_train_loss,257.0,0.828339
catp_llm_train_loss,258.0,2.528851
catp_llm_train_loss,259.0,0.625499
catp_llm_train_loss,260.0,0.60805
catp_llm_train_loss,261.0,0.578938
catp_llm_train_loss,262.0,0.642779
catp_llm_train_loss,263.0,0.629012
catp_llm_train_loss,264.0,0.684957
catp_llm_train_loss,265.0,0.754937
catp_llm_train_loss,266.0,0.812811
catp_llm_train_loss,267.0,0.80134
catp_llm_train_loss,268.0,0.811391
catp_llm_train_loss,269.0,0.785154
catp_llm_train_loss,270.0,0.589229
catp_llm_train_loss,271.0,0.580778
catp_llm_train_loss,272.0,0.547011
catp_llm_train_loss,273.0,0.610765
catp_llm_train_loss,274.0,0.663025
catp_llm_train_loss,275.0,0.602786
catp_llm_train_loss,276.0,0.682261
catp_llm_train_loss,277.0,0.626097
catp_llm_train_loss,278.0,0.630597
catp_llm_train_loss,279.0,0.694755
catp_llm_train_loss,280.0,0.658533
catp_llm_train_loss,281.0,0.648605
catp_llm_train_loss,282.0,0.716111
catp_llm_train_loss,283.0,0.659259
catp_llm_train_loss,284.0,0.573315
catp_llm_train_loss,285.0,0.486554
catp_llm_train_loss,286.0,0.45244
catp_llm_train_loss,287.0,0.559055
catp_llm_train_loss,288.0,0.522661
catp_llm_train_loss,289.0,0.388723
catp_llm_train_loss,290.0,0.526213
catp_llm_train_loss,291.0,0.565049
catp_llm_train_loss,292.0,0.680862
catp_llm_train_loss,293.0,0.682683
catp_llm_train_loss,294.0,0.698991
catp_llm_train_loss,295.0,0.706866
catp_llm_train_loss,296.0,0.686499
catp_llm_train_loss,297.0,0.683456
catp_llm_train_loss,298.0,0.529249
catp_llm_train_loss,299.0,0.557179
catp_llm_train_loss,300.0,0.509063
catp_llm_train_loss,301.0,0.530718
catp_llm_train_loss,302.0,0.567167
catp_llm_train_loss,303.0,0.526257
catp_llm_train_loss,304.0,0.603845
catp_llm_train_loss,305.0,0.583426
catp_llm_train_loss,306.0,0.627243
catp_llm_train_loss,307.0,0.655543
catp_llm_train_loss,308.0,0.568192
catp_llm_train_loss,309.0,0.482254
catp_llm_train_loss,310.0,0.386779
catp_llm_train_loss,311.0,0.494734
catp_llm_train_loss,312.0,0.467813
catp_llm_train_loss,313.0,0.436227
catp_llm_train_loss,314.0,0.591053
catp_llm_train_loss,315.0,0.491568
catp_llm_train_loss,316.0,0.488043
catp_llm_train_loss,317.0,0.41208
catp_llm_train_loss,318.0,0.452386
catp_llm_train_loss,319.0,0.457929
catp_llm_train_loss,320.0,0.374055
catp_llm_train_loss,321.0,0.474198
catp_llm_train_loss,322.0,0.477924
catp_llm_train_loss,323.0,0.535781
catp_llm_train_loss,324.0,0.565186
catp_llm_train_loss,325.0,0.528399
catp_llm_train_loss,326.0,0.661621
catp_llm_train_loss,327.0,0.578327
catp_llm_train_loss,328.0,0.485172
catp_llm_train_loss,329.0,0.577199
catp_llm_train_loss,330.0,0.516147
catp_llm_train_loss,331.0,0.480972
catp_llm_train_loss,332.0,0.512695
catp_llm_train_loss,333.0,0.419955
catp_llm_train_loss,334.0,0.480593
catp_llm_train_loss,335.0,0.477169
catp_llm_train_loss,336.0,0.406164
catp_llm_train_loss,337.0,0.404427
catp_llm_train_loss,338.0,0.431063
catp_llm_train_loss,339.0,0.357813
catp_llm_train_loss,340.0,0.425827
catp_llm_train_loss,341.0,0.443553
catp_llm_train_loss,342.0,0.551354
catp_llm_train_loss,343.0,0.570913
catp_llm_train_loss,344.0,0.476808
catp_llm_train_loss,345.0,0.466266
catp_llm_train_loss,346.0,0.380943
catp_llm_train_loss,347.0,0.500153
catp_llm_train_loss,348.0,0.505584
catp_llm_train_loss,349.0,0.429934
catp_llm_train_loss,350.0,0.404499
catp_llm_train_loss,351.0,0.426604
catp_llm_train_loss,352.0,0.354276
catp_llm_train_loss,353.0,0.465829
catp_llm_train_loss,354.0,0.451472
catp_llm_train_loss,355.0,0.587837
catp_llm_train_loss,356.0,0.632726
catp_llm_train_loss,357.0,1.874463
catp_llm_train_loss,358.0,2.011721
catp_llm_train_loss,359.0,0.384719
catp_llm_train_loss,360.0,0.336753
catp_llm_train_loss,361.0,0.275631
catp_llm_train_loss,362.0,0.309102
catp_llm_train_loss,363.0,0.314566
catp_llm_train_loss,364.0,0.49474
catp_llm_train_loss,365.0,0.516242
catp_llm_train_loss,366.0,0.259903
catp_llm_train_loss,367.0,0.284179
catp_llm_train_loss,368.0,0.224242
catp_llm_train_loss,369.0,0.439714
catp_llm_train_loss,370.0,0.404803
catp_llm_train_loss,371.0,0.363312
catp_llm_train_loss,372.0,0.414331
catp_llm_train_loss,373.0,0.407331
catp_llm_train_loss,374.0,0.48523
catp_llm_train_loss,375.0,0.489139
catp_llm_train_loss,376.0,0.449224
catp_llm_train_loss,377.0,0.514327
catp_llm_train_loss,378.0,0.524033
catp_llm_train_loss,379.0,0.579214
catp_llm_train_loss,380.0,0.457946
catp_llm_train_loss,381.0,0.356933
catp_llm_train_loss,382.0,0.278702
catp_llm_train_loss,383.0,0.37497
catp_llm_train_loss,384.0,0.409285
catp_llm_train_loss,385.0,0.312143
catp_llm_train_loss,386.0,0.374978
catp_llm_train_loss,387.0,0.436212
catp_llm_train_loss,388.0,0.42238
catp_llm_train_loss,389.0,0.43354
catp_llm_train_loss,390.0,0.31695
catp_llm_train_loss,391.0,0.297886
catp_llm_train_loss,392.0,0.22611
catp_llm_train_loss,393.0,0.315373
catp_llm_train_loss,394.0,0.327021
catp_llm_train_loss,395.0,0.378317
catp_llm_train_loss,396.0,0.389021
catp_llm_train_loss,397.0,0.398941
catp_llm_train_loss,398.0,0.421189
catp_llm_train_loss,399.0,0.4578
catp_llm_train_loss,400.0,0.493375
catp_llm_train_loss,401.0,0.423664
catp_llm_train_loss,402.0,0.28986
catp_llm_train_loss,403.0,0.224138
catp_llm_train_loss,404.0,0.390718
catp_llm_train_loss,405.0,0.283256
catp_llm_train_loss,406.0,0.212181
catp_llm_train_loss,407.0,0.274003
catp_llm_train_loss,408.0,0.238893
catp_llm_train_loss,409.0,0.172411
catp_llm_train_loss,410.0,0.345391
catp_llm_train_loss,411.0,0.300167
catp_llm_train_loss,412.0,0.233885
catp_llm_train_loss,413.0,0.346169
catp_llm_train_loss,414.0,0.200745
catp_llm_train_loss,415.0,0.175816
catp_llm_train_loss,416.0,0.369704
catp_llm_train_loss,417.0,0.278283
catp_llm_train_loss,418.0,0.213862
catp_llm_train_loss,419.0,0.305242
catp_llm_train_loss,420.0,0.317486
catp_llm_train_loss,421.0,0.468
catp_llm_train_loss,422.0,0.459088
catp_llm_train_loss,423.0,0.45766
catp_llm_train_loss,424.0,0.522928
catp_llm_train_loss,425.0,0.455677
catp_llm_train_loss,426.0,0.441965
catp_llm_train_loss,427.0,0.382072
catp_llm_train_loss,428.0,0.413322
catp_llm_train_loss,429.0,0.35554
catp_llm_train_loss,430.0,0.389884
catp_llm_train_loss,431.0,0.436802
catp_llm_train_loss,432.0,0.476664
catp_llm_train_loss,433.0,0.477179
catp_llm_train_loss,434.0,0.436145
catp_llm_train_loss,435.0,0.370763
catp_llm_train_loss,436.0,0.309939
catp_llm_train_loss,437.0,0.271861
catp_llm_train_loss,438.0,0.300572
catp_llm_train_loss,439.0,0.369872
catp_llm_train_loss,440.0,0.334691
catp_llm_train_loss,441.0,0.413807
catp_llm_train_loss,442.0,0.402764
catp_llm_train_loss,443.0,0.405738
catp_llm_train_loss,444.0,0.443003
catp_llm_train_loss,445.0,0.415493
catp_llm_train_loss,446.0,0.586377
catp_llm_train_loss,447.0,0.534573
catp_llm_train_loss,448.0,0.241091
