policy,w_latency,seed,expected_reward,normalized_score,success_prob,latency_s,timeout_prob
grpo_rl,0.5,1,-0.06933968931922574,0.8491259024181202,0.7095957219747181,1.3627857999511672,0.09754251131836039
random,0.5,2,-0.1703802103768688,0.0,0.5913884195984218,1.2685367128810068,0.12750027353478732
latency_greedy,0.5,2,-0.14014379638082464,0.24160565199072187,0.536293951115179,0.9645489001864738,0.1941632974027668
quality_greedy,0.5,2,-0.12239253560475655,0.38344803230805596,0.7408651806299836,1.6013040191565664,0.06260570665645689
reliability_greedy,0.5,2,-0.1647766874351492,0.04477524398085876,0.7124207491559243,1.6539001381517142,0.050247367515216315
oracle,0.5,2,-0.04523241790219071,1.0,0.6849649331675598,1.2140732663837117,0.12316071787789462
grpo_rl,0.5,2,-0.045836487059715346,0.9951731537122649,0.684846407756006,1.215084899896336,0.12314044486755332
random,0.5,3,-0.0733575368842398,0.0,0.7041555621015494,1.359471709776106,0.0977772440977362
latency_greedy,0.5,3,-0.06629323828592908,0.07995817254247949,0.5055426931251031,0.7917315896249929,0.17597013659853578
quality_greedy,0.5,3,-0.13251140863394545,-0.6695407078417822,0.839361366641743,1.796080704297156,0.07383242312711051
reliability_greedy,0.5,3,-0.036896567226055735,0.41268817596305135,0.8245492252088521,1.6752822561105427,0.023804664379636523
oracle,0.5,3,0.014992388754163932,1.0,0.8007334183275118,1.4838596899845444,0.043811184581075566
grpo_rl,0.5,3,0.008819806842652406,0.9301348375008881,0.6866632521788607,1.2120416385789994,0.07182262604670868
random,0.5,4,-0.14843964596388853,0.0,0.6051247058042809,1.2832879031215205,0.11192040020740918
latency_greedy,0.5,4,-0.1522827687086778,-0.04218877548960026,0.4702189241854928,0.8952756326031169,0.1748638765926121
quality_greedy,0.5,4,-0.06097135866301119,0.9602035064843912,0.7997027648441591,1.5413436413821435,0.09000230281609858
reliability_greedy,0.5,4,-0.16520208832444333,-0.18401361714654002,0.6417975305722976,1.5048809474530056,0.05455914517023809
oracle,0.5,4,-0.05734615722926975,1.0,0.7766488730508536,1.4690631946725288,0.09946343294385906
grpo_rl,0.5,4,-0.07381195592855017,0.8192428577716464,0.691752467889841,1.331322093377095,0.09990337712984373
random,0.5,5,-0.1285984598390161,0.0,0.6843655016864029,1.4688408853426331,0.07854351885410245
latency_greedy,0.5,5,-0.17147409932887353,-0.45821832732154755,0.5066207469431785,1.1108803597081112,0.12265466641799652
quality_greedy,0.5,5,-0.03502813116953424,1.0,0.809254064890463,1.5744826261833977,0.057040882968298345
reliability_greedy,0.5,5,-0.062476240187565334,0.7066579822008966,0.7843444870431935,1.642772549721364,0.025434452370076736
oracle,0.5,5,-0.03502813116953424,1.0,0.809254064890463,1.5744826261833977,0.057040882968298345
grpo_rl,0.5,5,-0.0650607668257487,0.67903676215247,0.7377944287743403,1.4036415397384865,0.10103442573084578
random,0.6,1,-0.2751457425734051,0.0,0.594412120282597,1.2744869698788976,0.10486568092866361
latency_greedy,0.6,1,-0.27171644822852764,0.04100807185527706,0.4487494404535776,0.9619313496143533,0.14330707891349326
quality_greedy,0.6,1,-0.19733875677991236,0.9304288706008006,0.7339368143443794,1.4147305759814748,0.08243722553540692
reliability_greedy,0.6,1,-0.2616255126835809,0.16167715659927795,0.69057768551682,1.482919995015646,0.06245120119101329
oracle,0.6,1,-0.19152088069304354,1.0,0.711751635843572,1.3608489436548217,0.08676315034372273
grpo_rl,0.6,1,-0.19985485960186333,0.900340894783864,0.6877159743097714,1.309638450667292,0.10178776351125954
random,0.6,2,-0.2972338816649694,0.0,0.5913884195984218,1.2685367128810068,0.12750027353478732
latency_greedy,0.6,2,-0.236598686399472,0.43370235250223077,0.536293951115179,0.9645489001864738,0.1941632974027668
quality_greedy,0.6,2,-0.28252293752041313,0.10522224023666021,0.7408651806299836,1.6013040191565664,0.06260570665645689
reliability_greedy,0.6,2,-0.3301667012503206,-0.23555694454612722,0.7124207491559243,1.6539001381517142,0.050247367515216315
oracle,0.6,2,-0.15742556631767024,1.0,0.6279772816139282,1.0441900559793702,0.15888881434397628
grpo_rl,0.6,2,-0.16394759840208784,0.9533501847281676,0.6169698507086729,1.023842819514741,0.16661175740191603
random,0.6,3,-0.20930470786185038,0.0,0.7041555621015494,1.359471709776106,0.0977772440977362
